id,indexInArticle,paragraphIndex,htmlType,biased,groundTruthBiased,text,articleId
953c2ead-a047-4cc0-b64e-25269114aec5,1,,H2,1,0,"Hawley accuses Colleen Shogan, Biden's pick for national archivist, of 'blatantly' lying under oath",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
3afd2b20-c82d-4561-ba57-b818c7965be7,2,0,SPAN,0,0,"Sen. Josh Hawley, R-Mo., on Tuesday grilled President Joe Biden’s nominee for archivist of the United States, accusing her of lying under oath and stonewalling his line of questioning after he confronted her on past statements that he characterized as partisan.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
0d830558-ffff-44bf-8072-88dc4573d78d,3,1,SPAN,0,0,"Colleen Shogan, who would be the first woman to run the National Archives and Records Administration (NARA), faced her second hearing before the Senate Homeland Security and Governmental Affairs Committee after every Republican on the committee voted against confirming her in September.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
f2f25367-8a0a-43f8-9581-7421829fdab2,4,2,SPAN,0,0,"Hawley recalled during Tuesday’s hearing that he had confronted Shogan in the last hearing about her past tweets that he considered ""grossly partisan"" and ""offensive.""",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
8fa04dcd-cd0e-4a85-9f49-50b94c6329b5,5,2,SPAN,0,0,"Hawley said he had asked Shogan to provide her public tweets to the committee, since she set her Twitter account to private after her nomination.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
0712f5c9-eafd-4a6d-a5d5-1b535b9180e4,6,4,SPAN,0,0,"""I asked you to provide the public posts that had previously been available on Twitter because the ones that we have were pretty disturbing,"" Hawley said. """,dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
afdbf37a-462d-4ccb-896c-48a8a239f13e,7,4,SPAN,0,0,"You responded as follows, and I quote, ‘My personal Twitter account is comprised of posts about my mystery novels, events at the White House Historical Association, Pittsburgh sports teams travels and my dog,’ end quote.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
84d91991-4b80-4146-8a6a-593c79c00127,9,5,SPAN,0,0,"""Yes, Senator,"" Shogan responded.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
6ed6ebc2-1261-4adb-b8ce-4a1c0727100e,10,6,SPAN,0,0,"Hawley then asked Shogan to defend multiple tweets in which she expressed political views on topics like gun control, COVID-19 mitigation efforts and former President Donald Trump.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
fc042013-4e2b-4b30-9651-1bd8ede7f842,11,7,SPAN,0,0,"Shogan gave the same answer to every question, stating, ""My social media is in my personal capacity, Senator.""",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
151b8842-d833-411d-97c7-ad4ca9b19786,12,8,SPAN,0,0,"""You are under oath before this committee, and I have to say, you have placed this issue squarely in record by repeatedly refusing to answer,"" Hawley said.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
f52b89fc-7095-4e21-b802-3e8a52f664ec,13,9,SPAN,0,0,"""I have to say, I have been here for four years in the Senate.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
44fd529c-bed4-444f-a6de-b86bcbe72cdf,14,9,SPAN,0,0,"I have never seen a witness stonewall like this before,"" he said. """,dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
c64f5720-11ae-4f46-90c1-3cfa2bd6132f,15,9,SPAN,0,0,"Never, and I've seen a lot.",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
decdac42-f5f4-42dd-b349-85a15bc80d36,16,9,SPAN,0,0,"This is extraordinary.""",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
50c64c20-6250-4891-8d76-fb59a1426418,17,10,SPAN,1,0,"""I mean, this is unbelievable, and you want to be the archivist of the United States,"" Hawley continued later. """,dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
0d94b249-d513-49ac-9c0c-4e7d18cabdf9,18,10,SPAN,1,0,"You lied to us under oath, you lied to us in your [Questions for the Record], you just lied to me a second ago under oath, and now you're sitting here stonewalling, not answering questions about public posts that you've made.""",dc7f4951-2a7d-484f-ae8c-cfe15d3f454c
79c433c0-80de-435b-ac1a-f4ef9710a71f,0,,H1,1,0,Irish Government Abandons Plan to Teach Children Gender is a ‘Spectrum’,9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
01639050-8d16-4c07-a743-1a04b86aeb46,1,0,SPAN,0,0,"The plan to teach children that gender resides on a “spectrum” has been abandoned, a report on Sunday has claimed.",9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
507b0b91-8eff-416a-9deb-7db30fdd28d1,2,1,SPAN,0,0,"A planned rework of Ireland’s Social, Personal, and Health Education (SPHE) curriculum that aimed to teach children that “gender identity” was on a “spectrum” has reportedly been abandoned by the government, a report on Tuesday has claimed.",9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
4a2a4e70-1817-4b64-8cba-19818792d525,3,2,SPAN,1,0,"It comes at a time when transgenderism both in Ireland and Europe has encountered increasing resistance from parents, politicians and society as a whole, with recent revelations surrounding Britain’s infamous Tavistock child gender identity clinic seemingly prompting a backlash against the ideology.",9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
8e88775d-6aaa-4005-968d-a03ab2c952af,4,3,SPAN,0,0,"According to a report by the Sunday Times, the initial re-work of the SPHE syllabus was aimed to include a number of claims about an individual’s “so-called” gender identity, including that such an identity is not binary.",9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
6a2435ff-0705-41ca-9d77-ab8d017bc6a9,5,4,SPAN,0,0,"The original “learning outcome” for this course was to help children “appreciate that sexual orientation, gender identity and gender expression are core parts of human identity and that each is experienced along a spectrum”.",9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b
